"","member","district","nominate","dwpred","dw.vs.replace","dwvr.rank"
"1","Pramila Jayapal","WA-07",-0.771,-0.5,-0.271,192
"2","Bonnie Watson Coleman","NJ-12",-0.625,-0.371,-0.254,191
"3","Jamie Raskin","MD-08",-0.607,-0.376,-0.231,190
"4","Ro Khanna","CA-17",-0.586,-0.364,-0.222,189
"5","Raúl M. Grijalva","AZ-03",-0.597,-0.382,-0.215,188
"6","Maxine Waters","CA-43",-0.658,-0.452,-0.206,187
"7","Barbara Lee","CA-13",-0.686,-0.488,-0.198,186
"8","Matt Cartwright","PA-17",-0.39,-0.208,-0.182,185
"9","Richard M. Nolan","MN-08",-0.375,-0.201,-0.174,184
"10","James P. McGovern","MA-02",-0.537,-0.383,-0.154,183
"11","Janice D. Schakowsky","IL-09",-0.605,-0.462,-0.143,182
"12","Bennie G. Thompson","MS-02",-0.514,-0.378,-0.136,181
"13","Yvette D. Clarke","NY-09",-0.609,-0.483,-0.126,180
"14","Linda T. Sánchez","CA-38",-0.506,-0.382,-0.124,179
"15","Peter A. DeFazio","OR-04",-0.428,-0.312,-0.116,178
"16","Mark Takano","CA-41",-0.466,-0.351,-0.115,177
"17","Judy Chu","CA-27",-0.497,-0.39,-0.107,176
"18","Mark DeSaulnier","CA-11",-0.536,-0.43,-0.106,175
"19","Emanuel Cleaver","MO-05",-0.452,-0.349,-0.103,174
"20","Daniel T. Kildee","MI-05",-0.409,-0.307,-0.102,173
"21","Mark Pocan","WI-02",-0.552,-0.45,-0.102,172
"22","Frank Pallone Jr.","NJ-06",-0.4,-0.301,-0.099,171
"23","Alcee L. Hastings","FL-20",-0.564,-0.466,-0.098,170
"24","Adriano Espaillat","NY-13",-0.598,-0.501,-0.097,169
"25","Louise McIntosh Slaughter","NY-25",-0.465,-0.37,-0.095,168
"26","Nanette Diaz Barragán","CA-44",-0.543,-0.453,-0.09,167
"27","Kathy Castor","FL-14",-0.435,-0.348,-0.087,166
"28","John Lewis","GA-05",-0.589,-0.502,-0.087,165
"29","Ruben J. Kihuen","NV-04",-0.361,-0.278,-0.083,164
"30","Marcia L. Fudge","OH-11",-0.585,-0.503,-0.082,163
"31","Rosa L. DeLauro","CT-03",-0.417,-0.335,-0.082,162
"32","Karen Bass","CA-37",-0.572,-0.493,-0.079,161
"33","Peter J. Visclosky","IN-01",-0.402,-0.325,-0.077,160
"34","John P. Sarbanes","MD-03",-0.463,-0.388,-0.075,159
"35","Tim Ryan","OH-13",-0.403,-0.329,-0.074,158
"36","Michael E. Capuano","MA-07",-0.579,-0.505,-0.074,157
"37","Nita M. Lowey","NY-17",-0.388,-0.314,-0.074,156
"38","Paul Tonko","NY-20",-0.423,-0.351,-0.072,155
"39","Vicente Gonzalez","TX-15",-0.378,-0.306,-0.072,154
"40","Theodore E. Deutch","FL-22",-0.406,-0.335,-0.071,153
"41","Grace F. Napolitano","CA-32",-0.446,-0.378,-0.068,152
"42","Joseph P. Kennedy III","MA-04",-0.433,-0.367,-0.066,151
"43","A. Donald McEachin","VA-04",-0.424,-0.359,-0.065,150
"44","Timothy J. Walz","MN-01",-0.273,-0.209,-0.064,149
"45","James R. Langevin","RI-02",-0.376,-0.313,-0.063,148
"46","Debbie Wasserman Schultz","FL-23",-0.427,-0.366,-0.061,147
"47","Alan S. Lowenthal","CA-47",-0.443,-0.383,-0.06,146
"48","Joe Courtney","CT-02",-0.341,-0.282,-0.059,145
"49","Katherine M. Clark","MA-05",-0.495,-0.439,-0.056,144
"50","Lois Frankel","FL-21",-0.412,-0.357,-0.055,143
"51","Nydia M. Velázquez","NY-07",-0.545,-0.491,-0.054,142
"52","Sander M. Levin","MI-09",-0.377,-0.323,-0.054,141
"53","Bobby Scott","VA-03",-0.452,-0.399,-0.053,140
"54","Collin C. Peterson","MN-07",-0.146,-0.097,-0.049,139
"55","Chellie Pingree","ME-01",-0.426,-0.377,-0.049,138
"56","Gwen Moore","WI-04",-0.53,-0.483,-0.047,137
"57","Darren Soto","FL-09",-0.361,-0.316,-0.045,136
"58","Carol Shea-Porter","NH-01",-0.313,-0.268,-0.045,135
"59","James E. Clyburn","SC-06",-0.465,-0.421,-0.044,134
"60","Alma S. Adams","NC-12",-0.467,-0.424,-0.043,133
