congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional,bioname,State,Class,Party,First Name,Last Name,Elected/ Appointed,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,Last Election D,Last Election R,Clinton 16,Trump 16,Obama 12,Romney 12,Obama 08,McCain 08,White (2010),Black (2010),Latino (2010),Asian and Pacific Islander (2010),Native (2010),Other (2010),Bachelor's Degree or Higher Among Age 25+ (2016),BA Rank  (2016),White BA  (2016),White Rank  (2016),Median Income (Household) (2016),Income Rank  (2016),TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS,,,,,,,,,
115,Senate,40304,54,0,TN,200,,,"ALEXANDER, Lamar",A000360,1940,,0.323,-0.184,-10.42765,0.96225,271,2,1,"ALEXANDER, Lamar",Tennessee,2014,Republican,Lamar,Alexander,2002,1940,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,31.9,61.9,34.7,60.7,39,59.4,41.8,56.8,78.1,15.5,3.8,1.4,0.3,1,26.1,41,27.3,44,"$48,547 ",43,0.94,26,0.89,5.3,,,,,,,,,
115,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.536,-0.253,-51.82003,0.83049,279,29,1,"BALDWIN, Tammy",Wisconsin,2012,Democratic,Tammy,Baldwin,2012,1962,Woman,White - Non-Hispanic,Unknown,Lesbian,Not Up,51.4,45.9,46.5,47.2,52.8,45.9,56.2,42.3,86.3,5.4,4.6,2,0.8,0.9,29.5,28,30.8,33,"$56,811 ",24,0.21,0.8,0.56,-34.2,,,,,,,,,
115,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.529,0.231,-7.42587,0.97364,278,3,1,"BARRASSO, John A.",Wyoming,2012,Republican,John,Barrasso,2007,1952,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,21.7,75.7,21.9,68.2,27.8,68.6,32.5,64.8,87.9,0.8,7.5,0.9,1.8,1.1,27.1,40,28.5,40,"$59,882 ",19,0.95,46.3,0.93,1.4,,,,,,,,,
115,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.207,-0.1,-37.67113,0.8737,279,14,1,"BENNET, Michael F.",Colorado,2016,Democratic,Michael,Bennet,2009,1964,Man,White - Non-Hispanic,Unknown,No,Re-elected,48.1,46.4,48.2,43.3,51.4,46.1,53.7,44.7,73.9,3.6,17.5,2.8,0.6,1.5,39.9,2,46,1,"$65,685 ",12,0.30,-4.9,0.44,-14,,,,,,,,,
115,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.412,-0.057,-37.95493,0.87238,278,19,1,"BLUMENTHAL, Richard",Connecticut,2016,Democratic,Dick,Blumenthal,2010,1946,Man,White - Non-Hispanic,Jewish,No,Re-elected,55.2,43.2,54.6,40.9,58.1,40.7,60.6,38.2,74.2,8.9,11.6,3.7,0.2,1.4,38.6,4,43.3,5,"$73,433 ",6,0.20,-13.6,0.31,-11.3,,,,,,,,,
115,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.431,0.286,-6.46514,0.9766,273,2,1,"BLUNT, Roy",Missouri,2016,Republican,Roy,Blunt,2010,1950,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,40.6,54.2,37.9,56.4,44.3,53.6,49.2,49.4,83,10.7,2.9,1.7,0.4,1.2,28.5,33,29.5,35,"$51,746 ",37,0.96,18.6,0.84,12.3,,,,,,,,,
115,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.625,-0.287,-27.62852,0.90239,269,10,1,"BOOKER, Cory Anthony",New Jersey,2014,Democratic,Cory,Booker,2013,1969,Man,Black - African-American,Christian - Baptist,No,Not Up,55.8,42.3,55,41,58.2,40.5,57.1,41.6,61.7,12.4,16.3,8.1,0.1,1.4,38.6,4,43,7,"$76,126 ",3,0.14,-14.1,0.31,-16.6,,,,,,,,,
115,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.402,0.245,-7.29365,0.9742,279,3,1,"BOOZMAN, John",Arkansas,2016,Republican,John,Boozman,2010,1950,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,36.9,57.9,33.7,60.6,36.9,60.6,38.9,58.7,77.5,14.2,5,1.4,0.7,1.2,22.4,48,24,48,"$44,334 ",48,0.96,26.9,0.90,6.5,,,,,,,,,
115,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.438,-0.146,-36.97929,0.87587,279,16,1,"BROWN, Sherrod",Ohio,2012,Democratic,Sherrod,Brown,2006,1952,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,50.7,44.7,43.2,51.3,50.6,47.6,51.4,46.8,83.2,11.3,2.5,1.7,0.2,1.1,27.5,37,28.6,39,"$52,334 ",34,0.30,8.1,0.70,-39.7,,,,,,,,,
115,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.453,-0.057,-6.41215,0.9767,272,1,1,"BURR, Richard M.",North Carolina,2016,Republican,Richard,Burr,2004,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,43,54.8,46.2,49.8,48.4,50.4,49.7,49.4,68.4,20.4,6.8,2.2,1.1,1.1,30.4,24,34.1,23,"$50,584 ",39,0.96,3.7,0.61,35.5,,,,,,,,,
115,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.289,-0.406,-20.59111,0.92836,277,5,1,"CANTWELL, Maria E.",Washington,2012,Democratic,Maria,Cantwell,2000,1958,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,60.5,39.5,52.5,36.8,55.8,41,57.3,40.3,76.1,3.3,8.9,7.8,1.3,2.7,35.1,10,36.7,14,"$67,106 ",10,0.27,-15.5,0.30,-2.7,,,,,,,,,
115,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.259,0.05,-14.7113,0.94809,276,5,1,"CAPITO, Shelley Moore",West Virginia,2014,Republican,Shelley Moore,Capito,2014,1953,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,34.5,62.1,26.2,67.9,35.5,62.1,42.5,55.6,93.9,3.3,1,0.7,0.2,0.9,20.8,50,20.5,50,"$43,385 ",49,0.95,42.2,0.93,1.5,,,,,,,,,
115,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.328,-0.254,-25.21854,0.91358,279,6,1,"CARDIN, Benjamin Louis",Maryland,2012,Democratic,Ben,Cardin,2006,1943,Man,White - Non-Hispanic,Jewish,No,Not Up,56,26.3,60.3,33.9,62,35.9,61.9,36.5,57.2,28,7.3,5.6,0.2,1.6,39.3,3,44.2,4,"$78,945 ",1,0.27,-26.4,0.22,5.3,,,,,,,,,
115,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.219,-36.85783,0.87414,274,15,1,"CARPER, Thomas Richard",Delaware,2012,Democratic,Tom,Carper,2000,1947,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,66.4,29,53.1,41.7,58.6,40,61.9,36.9,69,19.5,6.7,3.2,0.3,1.3,31,20,33.8,25,"$61,757 ",15,0.32,-11.4,0.34,-1.9,,,,,,,,,
115,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.294,0.185,-22.87674,0.92128,279,8,1,"CASEY, Robert (Bob), Jr.",Pennsylvania,2012,Democratic,Bob,Casey,2006,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,53.7,44.6,47.5,48.2,52,46.6,54.5,44.2,81.8,9.7,4.6,2.7,0.1,1,30.8,22,32.2,27,"$56,907 ",23,0.29,0.7,0.56,-26.9,,,,,,,,,
115,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.451,-0.1,-8.77051,0.96894,278,5,1,"CASSIDY, Bill",Louisiana,2014,Republican,Bill,Cassidy,2014,1957,Man,White - Non-Hispanic,Christian - Protestant,No,Not Up,44.1,55.9,38.4,58.1,40.6,57.8,39.9,58.6,62.9,29.9,4,1.6,0.6,1,23.4,46,27.5,42,"$45,146 ",47,0.96,19.6,0.85,11.3,,,,,,,,,
115,Senate,14009,46,0,MS,200,,,"COCHRAN, William Thad",C000567,1937,,0.287,0.05,-6.5192,0.97456,253,0,1,"COCHRAN, William Thad",Mississippi,2014,Republican,Thad,Cochran,1978,1937,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,37.9,59.9,40.1,57.9,43.8,55.3,43,56.2,61,34.6,2.5,0.9,0.4,0.7,21.8,49,25.5,47,"$41,754 ",50,0.96,17.8,0.83,13,,,,,,,,,
115,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.108,-0.571,-49.19657,0.83834,279,27,1,"COLLINS, Susan Margaret",Maine,2014,Republican,Susan,Collins,1996,1952,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,31.5,68.5,47.8,44.9,56.3,41,57.7,40.4,95.6,0.9,1,1,0.6,1.1,30.1,25,30.3,34,"$53,079 ",32,0.82,-3,0.48,34.1,,,,,,,,,
115,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.268,-0.241,-34.64761,0.87915,269,14,1,"COONS, Christopher A.",Delaware,2014,Democratic,Chris,Coons,2010,1963,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,55.8,42.2,53.1,41.7,58.6,40,61.9,36.9,69,19.5,6.7,3.2,0.3,1.3,31,20,33.8,25,"$61,757 ",15,0.31,-11.4,0.35,-3.6,,,,,,,,,
115,Senate,40705,54,0,TN,200,,,"CORKER, Robert (Bob)",C001071,1952,,0.393,-0.333,-35.3966,0.87963,276,13,1,"CORKER, Robert (Bob)",Tennessee,2012,Republican,Bob,Corker,2006,1952,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,30.4,64.9,34.7,60.7,39,59.4,41.8,56.8,78.1,15.5,3.8,1.4,0.3,1,26.1,41,27.3,44,"$48,547 ",43,0.86,26,0.89,-3.8,,,,,,,,,
115,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.496,-0.018,-7.99411,0.97175,279,3,1,"CORNYN, John",Texas,2014,Republican,John,Cornyn,2002,1952,Man,White - Non-Hispanic,Christian - Nondenominational,No,Not Up,34.4,61.6,43.2,52.2,41.4,57.1,43.6,55.4,49.6,11.4,33.6,4,0.3,1.1,28.9,29,37.6,12,"$56,565 ",25,0.96,9,0.72,24.9,,,,,,,,,
