"","member","district","trump_score","tspred","ts.vs.replace","tsvr.rank"
"1","Frank Pallone Jr.","NJ-06",10,24,-14,192
"2","Kathleen M. Rice","NY-04",15,26,-10,191
"3","Timothy J. Walz","MN-01",19,30,-10,190
"4","Raúl M. Grijalva","AZ-03",8,19,-10,189
"5","Bonnie Watson Coleman","NJ-12",8,18,-10,188
"6","Richard M. Nolan","MN-08",20,29,-9,187
"7","Debbie Wasserman Schultz","FL-23",12,21,-9,186
"8","Colleen Hanabusa","HI-01",14,22,-9,185
"9","Theodore E. Deutch","FL-22",14,23,-8,184
"10","Louise McIntosh Slaughter","NY-25",12,20,-8,183
"11","Filemon Vela","TX-34",18,25,-8,182
"12","Sander M. Levin","MI-09",14,21,-8,181
"13","Matt Cartwright","PA-17",22,30,-7,180
"14","Bennie G. Thompson","MS-02",14,21,-7,179
"15","Joaquin Castro","TX-20",16,22,-7,178
"16","Daniel T. Kildee","MI-05",16,22,-7,177
"17","Jamie Raskin","MD-08",10,17,-7,176
"18","A. Donald McEachin","VA-04",14,21,-6,175
"19","Rosa L. DeLauro","CT-03",14,21,-6,174
"20","Ben Ray Luján","NM-03",15,22,-6,173
"21","Kathy Castor","FL-14",17,23,-6,172
"22","Maxine Waters","CA-43",8,14,-6,171
"23","Judy Chu","CA-27",14,19,-6,170
"24","Nita M. Lowey","NY-17",15,21,-6,169
"25","Emanuel Cleaver","MO-05",15,21,-6,168
"26","James E. Clyburn","SC-06",12,17,-6,167
"27","Mark Takano","CA-41",14,19,-5,166
"28","Carol Shea-Porter","NH-01",19,24,-5,165
"29","André Carson","IN-07",12,18,-5,164
"30","Peter J. Visclosky","IN-01",15,21,-5,163
"31","Adriano Espaillat","NY-13",8,14,-5,162
"32","John Garamendi","CA-03",17,22,-5,161
"33","John Lewis","GA-05",9,13,-5,160
"34","James R. Langevin","RI-02",17,22,-5,159
"35","Jared Polis","CO-02",12,17,-5,158
"36","Lisa Blunt Rochester","DE-AL",17,22,-5,157
"37","Elizabeth H. Esty","CT-05",20,25,-5,156
"38","Grace F. Napolitano","CA-32",13,18,-4,155
"39","Sean Patrick Maloney","NY-18",24,28,-4,154
"40","Jerry McNerney","CA-09",17,21,-4,153
"41","James P. McGovern","MA-02",12,16,-4,152
"42","Tim Ryan","OH-13",17,21,-4,151
"43","Linda T. Sánchez","CA-38",14,18,-4,150
"44","Alcee L. Hastings","FL-20",9,13,-4,149
"45","Michelle Lujan Grisham","NM-01",17,21,-4,148
"46","Paul Tonko","NY-20",16,19,-4,147
"47","Darren Soto","FL-09",20,24,-4,146
"48","Alma S. Adams","NC-12",14,17,-3,145
"49","Cedric L. Richmond","LA-02",11,14,-3,144
"50","Juan Vargas","CA-51",12,15,-3,143
"51","Janice D. Schakowsky","IL-09",10,13,-3,142
"52","Steny H. Hoyer","MD-05",14,17,-3,141
"53","Lois Frankel","FL-21",17,20,-3,140
"54","Dina Titus","NV-01",14,17,-3,139
"55","David Loebsack","IA-02",22,25,-3,138
"56","Lloyd Doggett","TX-35",15,18,-3,137
"57","Alan S. Lowenthal","CA-47",16,19,-3,136
"58","Thomas R. Suozzi","NY-03",23,26,-3,135
"59","Ro Khanna","CA-17",14,17,-3,134
"60","Pete Aguilar","CA-31",19,22,-3,133
"61","Barbara Lee","CA-13",8,11,-3,132
"62","Yvette D. Clarke","NY-09",10,13,-3,131
"63","Ruben J. Kihuen","NV-04",22,25,-3,130
"64","John A. Yarmuth","KY-03",17,20,-3,129
"65","Mark DeSaulnier","CA-11",10,13,-3,128
"66","Joe Courtney","CT-02",20,23,-3,127
"67","Luis V. Gutiérrez","IL-04",9,12,-2,126
"68","Chellie Pingree","ME-01",14,16,-2,125
"69","Suzan K. DelBene","WA-01",15,18,-2,124
"70","Diana DeGette","CO-01",10,13,-2,123
"71","Niki Tsongas","MA-03",14,16,-2,122
"72","Bobby Scott","VA-03",15,17,-2,121
