"","member","district","trump_score","tspred","ts.vs.replace","tsvr.rank"
"1","Henry Cuellar","TX-28",63,24,39,1
"2","Kyrsten Sinema","AZ-09",50,20,30,2
"3","Collin C. Peterson","MN-07",63,36,28,3
"4","Jim Costa","CA-16",38,21,17,4
"5","Tom O’Halleran","AZ-01",42,28,14,5
"6","Daniel Lipinski","IL-03",33,19,13,6
"7","Josh Gottheimer","NJ-05",41,28,13,7
"8","J. Luis Correa","CA-46",29,17,12,8
"9","Stephanie N. Murphy","FL-07",36,25,11,9
"10","Scott H. Peters","CA-52",29,20,9,10
"11","Bradley Scott Schneider","IL-10",25,17,9,11
"12","Jimmy Panetta","CA-20",20,12,8,12
"13","Charlie Crist","FL-13",32,24,8,13
"14","Earl Blumenauer","OR-03",16,9,8,14
"15","Sanford D. Bishop Jr.","GA-02",33,25,7,15
"16","Mike Quigley","IL-05",19,12,7,16
"17","Gene Green","TX-29",23,16,7,17
"18","Jim Cooper","TN-05",27,20,7,18
"19","Kurt Schrader","OR-05",28,21,6,19
"20","C. A. Dutch Ruppersberger","MD-02",24,18,5,20
"21","Stephen F. Lynch","MA-08",21,16,5,21
"22","Salud O. Carbajal","CA-24",24,19,5,22
"23","Mike Thompson","CA-05",16,11,5,23
"24","Gregory W. Meeks","NY-05",18,13,5,24
"25","Albio Sires","NJ-08",20,15,5,25
"26","Jackie Speier","CA-14",17,13,4,26
"27","Wm. Lacy Clay","MO-01",16,11,4,27
"28","Peter Welch","VT-AL",14,9,4,28
"29","Adam B. Schiff","CA-28",17,13,4,29
"30","Anna G. Eshoo","CA-18",16,11,4,30
"31","Gerald E. Connolly","VA-11",20,16,4,31
"32","Michael E. Capuano","MA-07",14,10,4,32
"33","Nancy Pelosi","CA-12",14,11,4,33
"34","Brad Sherman","CA-30",17,14,4,34
"35","Jacky Rosen","NV-03",31,28,3,35
"36","Carolyn B. Maloney","NY-12",14,10,3,36
"37","William R. Keating","MA-09",22,19,3,37
"38","Robert A. Brady","PA-01",14,10,3,38
"39","David Scott","GA-13",20,16,3,39
"40","Lucille Roybal-Allard","CA-40",16,12,3,40
"41","Tulsi Gabbard","HI-02",21,18,3,41
"42","Jared Huffman","CA-02",12,9,3,42
"43","Beto O’Rourke","TX-16",22,19,3,43
"44","Jerrold Nadler","NY-10",14,11,3,44
"45","Al Lawson Jr.","FL-05",22,20,3,45
"46","Pramila Jayapal","WA-07",10,8,2,46
"47","Eric Swalwell","CA-15",17,15,2,47
"48","Raul Ruiz","CA-36",27,25,2,48
"49","Donald S. Beyer Jr.","VA-08",16,14,2,49
"50","Michael F. Doyle","PA-14",15,13,2,50
"51","Cheri Bustos","IL-17",25,23,2,51
"52","Joyce Beatty","OH-03",15,13,2,52
"53","Doris O. Matsui","CA-06",15,13,2,53
"54","Seth Moulton","MA-06",19,17,2,54
