"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"1","AK-AL","Alaska At-Large","Republican","Don","Young","(DAHN YUHNG)","/dÄïn j_ëÅ†Äç/","1973 Special",1933,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",36,50.3,"41",51,"30.9",69.1,36.6,51.3,41.2,55.3,38.1,59.7,68.4,3.1,4.7,6.2,13.2,4.5,29.6,209,36.7,174,76440,65,318608,116454,163387,297625,122640,164676,324467,123594,193841,308198,111019,155088,42091,279725,114596,142566,22563,82927,185296,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471,570641,1.24170888527112
"2","AL-01","Alabama 1st","Republican","Bradley","Byrne","(BRADD-lee BURN)","/'bÄ_í_d.li bÄìÄ_n/","2016",1955,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",0,96.4,"31.7",68.2,"0",100,34.1,63.5,37.4,61.8,38.5,60.9,68.5,25.6,2.5,1.3,1.1,1,24,308,27.7,303,47083,350,303478,103364,192634,298837,111735,184786,301556,115975,183753,215893,0,208083,7810,152234,48278,103758,198,0,196374,682423,449539,187508,19086,9296,7644,9350,515948,353347,132261,12904,6918,5524,4994,6066.83,112.484279269404
"3","AL-02","Alabama 2nd","Republican","Martha","Roby","(MAR-thuh ROH-bee)","/'mÄïÄ_.‘ŸÄ» 'Ä_o__.bi/","2010",1976,"Woman","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",40.5,48.8,"32.6",67.3,"36.3",63.7,33,64.9,36.4,62.9,35,64.5,66.5,27.8,3,1.2,0.5,1,21.8,354,24.2,371,42035,396,285664,94299,185505,289864,105572,182287,288807,101076,186164,276584,112089,134886,29609,167952,54692,113103,157,103092,180591,686078,438782,201723,24648,7900,3072,9953,522837,347855,145568,15912,6059,2371,5072,10141.63,67.6496776159257
"4","AL-03","Alabama 3rd","Republican","Mike","Rogers","(MIKE RAH-jerz)","/maÄÈk 'Ä_Äï.d_ÍÄ»Ä_z/","2002",1958,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",32.9,66.9,"33.7",66.1,"35.9",64.1,32.3,65.3,36.8,62.3,36.6,62.6,71.5,23.9,2.3,1.1,0.3,0.9,22.8,336,23.7,380,46544,357,288776,93300,188477,280128,103089,174465,281951,103221,176434,287104,94549,192164,391,156620,52816,103558,246,98141,175306,680857,473473,170355,17932,7923,2117,9057,523481,374072,125248,11783,5992,1705,4681,7543.86,90.2531330114822
"5","AL-04","Alabama 4th","Republican","Robert","Aderholt","(RAH-bert ADD-er-holt)","/'Ä_Äï.bÄ»Ä_t 'í_.Ä_Ä»Ä_.ho__lt/","1996",1965,"Man","White - Non-Hispanic","Christian - Congregationalist","No","Re-elected",0,98.5,"0",98.6,"25.9",74.1,17.4,80.4,24,74.8,25.5,73.3,86.9,6.5,4.3,0.5,0.7,1,17,412,17.8,426,41110,406,290726,50722,233661,274505,65818,205423,278483,71095,204123,239444,0,235925,3519,134752,0,132831,1921,69706,199071,681487,578453,46163,38837,3200,5218,9616,521081,452704,34104,22579,2369,3870,5455,8888.77,76.6683129386855
"6","AL-05","Alabama 5th","Republican","Mo","Brooks","(MOH BROOKS)","/mo__ bÄ___ks/","2010",1954,"Man","White - Non-Hispanic","Christian - Nondenominational","No","Re-elected",33.2,66.7,"0",74.4,"35",65,31.3,64.7,34.9,63.9,36.3,62.6,76.1,16.3,3.9,1.6,0.7,1.4,30.3,191,31,250,51690,274,309937,97159,200571,297263,103598,189860,294444,107005,184225,308326,102234,205647,445,154974,0,115338,39636,101772,189185,683019,506307,114887,32572,11051,4753,13449,523079,398175,85119,20508,8381,3628,7268,3677.31,185.738760126288
"7","AL-06","Alabama 6th","Republican","Gary","Palmer","(GAIR-ee PAWL-mer)","/'gÄ_.Ä_i 'pÄîl.mÄ»Ä_/","2014",1954,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",25.4,74.5,"23.7",76.2,"28.7",71.3,26.1,70.8,24.7,74.3,25,74.1,80.8,12.5,4.1,1.6,0.3,0.8,36.7,112,38.2,156,61413,165,329849,86116,233493,314343,77517,233566,313838,78559,232644,329306,83709,245313,284,178449,42291,135945,213,88267,219262,682422,537110,91612,33409,10985,1830,7476,517305,417809,64797,21238,8052,1410,3999,4170.78,163.61975457828
"8","AL-07","Alabama 7th","Democratic","Terri","Sewell","(TAIR-ee SOO-uhl)","/'tÄ_.Ä_i 'su.Ä»l/","2010",1965,"Woman","Black - African-American","Christian - Methodist","No","Re-elected",98.4,0,"98.4",0,"75.9",24.1,69.8,28.6,72.4,27.1,71.5,28.1,35.7,60.2,2.6,0.7,0.2,0.6,19.4,393,28.5,292,34664,431,293231,204586,83915,315244,228276,85488,315625,225642,88803,233028,229330,0,3698,135899,133687,0,2212,232520,73835,683450,220738,432189,19118,4558,1273,5574,523546,186799,315181,13412,3872,1042,3240,10156.13,67.294333569972
"9","AR-01","Arkansas 1st","Republican","Rick","Crawford","(RICK KRAW-ferd)","/Ä_ÄÈk 'kÄ_Äî.fÄ»Ä_d/","2010",1966,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,76.3,"32.4",63.3,"41",59,30.2,65,36.3,61,39.2,58,79.5,16.4,2.3,0.5,0.4,0.9,16.5,416,17.6,428,40492,415,260717,78688,169438,253460,92086,154549,262118,102670,151918,241047,0,183866,57181,196256,63555,124139,8562,96601,138800,728765,561127,131685,20302,3816,2841,8994,553023,439894,90634,12457,2954,2231,4853,19318.29,37.724094627423
"10","AR-02","Arkansas 2nd","Republican","French","Hill","(FRENCH HILL)","/fÄ_Ä_nt_€ hÄÈl/","2014",1956,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",36.8,58.3,"43.6",51.9,"41.7",58.3,41.7,52.4,42.9,54.7,44.3,53.8,73.4,19.6,4,1.4,0.4,1.1,30,203,32.5,228,49498,321,306974,127883,160782,292515,125527,160140,293250,129888,157732,302464,111347,176472,14645,237330,103477,123073,10780,113156,158175,729192,512941,155352,35048,10421,3117,12313,553609,406362,108270,22315,7972,2387,6303,4978.12,146.479393827389
