"","member","state","trump_score","tspred","ts.vs.replace","tsvr.rank"
"1","Angus S. King Jr.","ME",45,27,18,1
"2","Mark R. Warner","VA",43,27,16,2
"3","Patrick J. Leahy","VT",27,12,15,3
"4","Dianne Feinstein","CA",31,19,11,4
"5","Benjamin L. Cardin","MD",27,21,6,5
"6","Tim Kaine","VA",34,28,6,6
"7","Bill Nelson","FL",38,32,6,7
"8","Joe Donnelly","IN",47,42,5,8
"9","Brian Schatz","HI",27,22,5,9
"10","Michael F. Bennet","CO",30,26,4,10
"11","Thomas R. Carper","DE",32,28,4,11
"12","Claire McCaskill","MO",44,40,3,12
"13","Christopher A. Coons","DE",31,28,3,13
"14","Charles E. Schumer","NY",23,20,3,14
"15","Mazie K. Hirono","HI",25,22,3,15
"16","Maria Cantwell","WA",27,25,2,16
"17","Tammy Duckworth","IL",25,23,2,17
"18","Christopher Murphy","CT",27,26,2,18
"19","Margaret Wood Hassan","NH",32,32,0,19
"20","Jeanne Shaheen","NH",32,32,0,19
"21","Chris Van Hollen","MD",22,21,0,20
"22","Jon Tester","MT",39,39,0,21
"23","Joe Manchin III","WV",54,53,0,22
"24","Sheldon Whitehouse","RI",23,23,0,23
"25","Jack Reed","RI",23,23,0,23
"26","Amy Klobuchar","MN",30,31,-1,24
"27","Heidi Heitkamp","ND",50,51,-1,25
"28","Bernard Sanders","VT",14,15,-1,26
"29","Richard J. Durbin","IL",22,23,-1,27
"30","Gary C. Peters","MI",31,32,-1,28
"31","Catherine Cortez Masto","NV",34,35,-2,29
"32","Debbie Stabenow","MI",30,32,-2,30
"33","Patty Murray","WA",23,25,-2,31
"34","Edward J. Markey","MA",14,17,-3,32
"35","Robert Menendez","NJ",24,27,-3,33
"36","Robert P. Casey Jr.","PA",29,32,-3,34
"37","Martin Heinrich","NM",25,29,-4,35
"38","Kamala D. Harris","CA",16,21,-5,36
"39","Sherrod Brown","OH",30,36,-6,37
"40","Richard Blumenthal","CT",20,26,-6,38
"41","Tom Udall","NM",23,30,-6,39
"42","Elizabeth Warren","MA",11,18,-7,40
"43","Ron Wyden","OR",18,26,-8,41
"44","Tammy Baldwin","WI",21,33,-12,42
"45","Kirsten E. Gillibrand","NY",9,21,-12,43
"46","Jeff Merkley","OR",12,26,-13,44
"47","Cory A. Booker","NJ",14,28,-14,45
