chamber,member,member_short,party,state,nominate
Senate,"WARREN, Elizabeth",WARREN,Democrat,Massachusetts,-0.762
Senate,"HARRIS, Kamala Devi",HARRIS,Democrat,California,-0.672
Senate,"BOOKER, Cory Anthony",BOOKER,Democrat,New Jersey,-0.622
Senate,"BALDWIN, Tammy",BALDWIN,Democrat,Wisconsin,-0.535
Senate,"SANDERS, Bernard",SANDERS,Independent,Vermont,-0.515
Senate,"MARKEY, Edward John",MARKEY,Democrat,Massachusetts,-0.501
Senate,"HIRONO, Mazie",HIRONO,Democrat,Hawaii,-0.49
Senate,"MERKLEY, Jeff",MERKLEY,Democrat,Oregon,-0.464
Senate,"UDALL, Thomas (Tom)",UDALL,Democrat,New Mexico,-0.453
Senate,"BROWN, Sherrod",BROWN,Democrat,Ohio,-0.438
Senate,"WHITEHOUSE, Sheldon",WHITEHOUSE,Democrat,Rhode Island,-0.413
Senate,"BLUMENTHAL, Richard",BLUMENTHAL,Democrat,Connecticut,-0.409
Senate,"SCHATZ, Brian Emanuel",SCHATZ,Democrat,Hawaii,-0.406
Senate,"FRANKEN, Al",FRANKEN,Democrat,Minnesota,-0.4
Senate,"VAN HOLLEN, Christopher",VAN HOLLEN,Democrat,Maryland,-0.399
Senate,"REED, John F. (Jack)",REED,Democrat,Rhode Island,-0.385
Senate,"GILLIBRAND, Kirsten",GILLIBRAND,Democrat,New York,-0.377
Senate,"LEAHY, Patrick Joseph",LEAHY,Democrat,Vermont,-0.374
Senate,"DURBIN, Richard Joseph",DURBIN,Democrat,Illinois,-0.363
Senate,"MENENDEZ, Robert",MENENDEZ,Democrat,New Jersey,-0.36
Senate,"SCHUMER, Charles Ellis (Chuck)",SCHUMER,Democrat,New York,-0.351
Senate,"CORTEZ MASTO, Catherine Marie",CORTEZ MASTO,Democrat,Nevada,-0.349
Senate,"MURRAY, Patty",MURRAY,Democrat,Washington,-0.341
Senate,"CARDIN, Benjamin Louis",CARDIN,Democrat,Maryland,-0.328
Senate,"STABENOW, Deborah Ann",STABENOW,Democrat,Michigan,-0.327
Senate,"WYDEN, Ronald Lee",WYDEN,Democrat,Oregon,-0.317
Senate,"DUCKWORTH, Tammy",DUCKWORTH,Democrat,Illinois,-0.31
Senate,"MURPHY, Christopher",MURPHY,Democrat,Connecticut,-0.31
Senate,"CASEY, Robert (Bob), Jr.",CASEY,Democrat,Pennsylvania,-0.297
Senate,"HASSAN, Margaret (Maggie)",HASSAN,Democrat,New Hampshire,-0.291
Senate,"HEINRICH, Martin",HEINRICH,Democrat,New Mexico,-0.29
Senate,"CANTWELL, Maria E.",CANTWELL,Democrat,Washington,-0.289
Senate,"SHAHEEN, Jeanne",SHAHEEN,Democrat,New Hampshire,-0.267
Senate,"FEINSTEIN, Dianne",FEINSTEIN,Democrat,California,-0.264
Senate,"COONS, Christopher A.",COONS,Democrat,Delaware,-0.259
Senate,"KLOBUCHAR, Amy",KLOBUCHAR,Democrat,Minnesota,-0.244
Senate,"KAINE, Timothy Michael (Tim)",KAINE,Democrat,Virginia,-0.235
Senate,"PETERS, Gary C.",PETERS,Democrat,Michigan,-0.233
Senate,"TESTER, Jon",TESTER,Democrat,Montana,-0.214
Senate,"BENNET, Michael F.",BENNET,Democrat,Colorado,-0.209
Senate,"WARNER, Mark",WARNER,Democrat,Virginia,-0.196
Senate,"NELSON, Clarence William (Bill)",NELSON,Democrat,Florida,-0.194
Senate,"CARPER, Thomas Richard",CARPER,Democrat,Delaware,-0.174
Senate,"KING, Angus Stanley, Jr.",KING,Independent,Maine,-0.152
Senate,"McCASKILL, Claire",McCASKILL,Democrat,Missouri,-0.145
Senate,"HEITKAMP, Mary Kathryn (Heidi)",HEITKAMP,Democrat,North Dakota,-0.125
Senate,"DONNELLY, Joe",DONNELLY,Democrat,Indiana,-0.119
Senate,"MANCHIN, Joe, III",MANCHIN,Democrat,West Virginia,-0.061
Senate,"COLLINS, Susan Margaret",COLLINS,Republican,Maine,0.109
Senate,"MURKOWSKI, Lisa",MURKOWSKI,Republican,Alaska,0.208
Senate,"CAPITO, Shelley Moore",CAPITO,Republican,West Virginia,0.259
Senate,"COCHRAN, William Thad",COCHRAN,Republican,Mississippi,0.287
Senate,"ALEXANDER, Lamar",ALEXANDER,Republican,Tennessee,0.323
Senate,"HOEVEN, John",HOEVEN,Republican,North Dakota,0.34
Senate,"GRASSLEY, Charles Ernest",GRASSLEY,Republican,Iowa,0.342
Senate,"PORTMAN, Robert Jones (Rob)",PORTMAN,Republican,Ohio,0.375
Senate,"WICKER, Roger F.",WICKER,Republican,Mississippi,0.377
Senate,"McCAIN, John Sidney, III",McCAIN,Republican,Arizona,0.381
Senate,"HATCH, Orrin Grant",HATCH,Republican,Utah,0.382
Senate,"ROUNDS, Marion Michael (Mike)",ROUNDS,Republican,South Dakota,0.384
Senate,"CORKER, Robert (Bob)",CORKER,Republican,Tennessee,0.393
Senate,"BOOZMAN, John",BOOZMAN,Republican,Arkansas,0.402
Senate,"ISAKSON, Johnny",ISAKSON,Republican,Georgia,0.403
Senate,"McCONNELL, Addison Mitchell (Mitch)",McCONNELL,Republican,Kentucky,0.404
Senate,"THUNE, John",THUNE,Republican,South Dakota,0.409
Senate,"GRAHAM, Lindsey O.",GRAHAM,Republican,South Carolina,0.409
Senate,"MORAN, Jerry",MORAN,Republican,Kansas,0.414
Senate,"ROBERTS, Charles Patrick (Pat)",ROBERTS,Republican,Kansas,0.415
Senate,"TILLIS, Thomas Roland (Thom)",TILLIS,Republican,North Carolina,0.428
Senate,"BLUNT, Roy",BLUNT,Republican,Missouri,0.431
Senate,"SHELBY, Richard C.",SHELBY,Republican,Alabama,0.434
Senate,"KENNEDY, John Neely",KENNEDY,Republican,Louisiana,0.449
Senate,"CASSIDY, Bill",CASSIDY,Republican,Louisiana,0.451
