District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Nationwide,USA,239R-193D-3V,,,,,,,,,,,,48.0,49.1,45.7,51.4,50.6,49.4,48.4,46.3,51.1,47.3,53.0,45.7,67.0,11.6,14.2,5.0,0.7,1.5,31.2,175,35,191,"$57,617",199.5,,,,Sort,"135,942,537","65,853,652","62,985,134","128,946,952","65,918,507","60,934,407","131,203,377","69,499,428","59,950,323","128,612,245","61,776,236","63,153,409","3,682,600","77,882,347","35,624,515","40,020,896","2,236,936","59,655,241","58,337,833",,,,,"308,742,908","196,816,822","37,685,741","50,476,704","14,946,373","2,246,660","6,506,495","234,562,019","157,100,379","27,323,575","33,345,990","11,634,754","1,599,447","3,528,991"
Alabama 1st,AL-01,Republican,Bradley,Byrne,(BRADD-lee BURN),/'bɹæd.li bɜɹn/,2016,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,0,96.4,31.7,68.2,0,100,34.1,63.5,37.4,61.8,38.5,60.9,68.5,25.6,2.5,1.3,1.1,1.0,24.0 ,308 ,27.7 ,303 ,"$47,083",350,17-Dec-13,29.3,70.7,1,"303,478","103,364","192,634","298,837","111,735","184,786","301,556","115,975","183,753","215,893",0,"208,083","7,810","152,234","48,278","103,758",198,0,"196,374","51,010","14,968","36,042",0,"682,423","449,539","187,508","19,086","9,296","7,644","9,350","515,948","353,347","132,261","12,904","6,918","5,524","4,994"
Alabama 2nd,AL-02,Republican,Martha,Roby,(MAR-thuh ROH-bee),/'mɑɹ.θə 'ɹoʊ.bi/,2010,1976,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,40.5,48.8,32.6,67.3,36.3,63.7,33.0,64.9,36.4,62.9,35.0,64.5,66.5,27.8,3.0,1.2,0.5,1.0,21.8 ,354 ,24.2 ,371 ,"$42,035",396,,,,2,"285,664","94,299","185,505","289,864","105,572","182,287","288,807","101,076","186,164","276,584","112,089","134,886","29,609","167,952","54,692","113,103",157,"103,092","180,591",,,,,"686,078","438,782","201,723","24,648","7,900","3,072","9,953","522,837","347,855","145,568","15,912","6,059","2,371","5,072"
Alabama 3rd,AL-03,Republican,Mike,Rogers,(MIKE RAH-jerz),/maɪk 'ɹɑ.dʒəɹz/,2002,1958,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,32.9,66.9,33.7,66.1,35.9,64.1,32.3,65.3,36.8,62.3,36.6,62.6,71.5,23.9,2.3,1.1,0.3,0.9,22.8 ,336 ,23.7 ,380 ,"$46,544",357,,,,3,"288,776","93,300","188,477","280,128","103,089","174,465","281,951","103,221","176,434","287,104","94,549","192,164",391,"156,620","52,816","103,558",246,"98,141","175,306",,,,,"680,857","473,473","170,355","17,932","7,923","2,117","9,057","523,481","374,072","125,248","11,783","5,992","1,705","4,681"
Alabama 4th,AL-04,Republican,Robert,Aderholt,(RAH-bert ADD-er-holt),/'ɹɑ.bəɹt 'æ.ɾəɹ.hoʊlt/,1996,1965,Man,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,0,98.5,0,98.6,25.9,74.1,17.4,80.4,24.0,74.8,25.5,73.3,86.9,6.5,4.3,0.5,0.7,1.0,17.0 ,412 ,17.8 ,426 ,"$41,110",406,,,,4,"290,726","50,722","233,661","274,505","65,818","205,423","278,483","71,095","204,123","239,444",0,"235,925","3,519","134,752",0,"132,831","1,921","69,706","199,071",,,,,"681,487","578,453","46,163","38,837","3,200","5,218","9,616","521,081","452,704","34,104","22,579","2,369","3,870","5,455"
Alabama 5th,AL-05,Republican,Mo,Brooks,(MOH BROOKS),/moʊ bɹʊks/,2010,1954,Man,White - Non-Hispanic,Christian - Nondenominational,No,Re-elected,33.2,66.7,0,74.4,35.0,65.0,31.3,64.7,34.9,63.9,36.3,62.6,76.1,16.3,3.9,1.6,0.7,1.4,30.3 ,191 ,31.0 ,250 ,"$51,690",274,,,,5,"309,937","97,159","200,571","297,263","103,598","189,860","294,444","107,005","184,225","308,326","102,234","205,647",445,"154,974",0,"115,338","39,636","101,772","189,185",,,,,"683,019","506,307","114,887","32,572","11,051","4,753","13,449","523,079","398,175","85,119","20,508","8,381","3,628","7,268"
Alabama 6th,AL-06,Republican,Gary,Palmer,(GAIR-ee PAWL-mer),/'gɛ.ɹi 'pɔl.məɹ/,2014,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,25.4,74.5,23.7,76.2,28.7,71.3,26.1,70.8,24.7,74.3,25.0,74.1,80.8,12.5,4.1,1.6,0.3,0.8,36.7 ,112 ,38.2 ,156 ,"$61,413",165,,,,6,"329,849","86,116","233,493","314,343","77,517","233,566","313,838","78,559","232,644","329,306","83,709","245,313",284,"178,449","42,291","135,945",213,"88,267","219,262",,,,,"682,422","537,110","91,612","33,409","10,985","1,830","7,476","517,305","417,809","64,797","21,238","8,052","1,410","3,999"
Alabama 7th,AL-07,Democratic,Terri,Sewell,(TAIR-ee SOO-uhl),/'tɛ.ɹi 'su.əl/,2010,1965,Woman,Black - African-American,Christian - Methodist,No,Re-elected,98.4,0,98.4,0,75.9,24.1,69.8,28.6,72.4,27.1,71.5,28.1,35.7,60.2,2.6,0.7,0.2,0.6,19.4 ,393 ,28.5 ,292 ,"$34,664",431,,,,7,"293,231","204,586","83,915","315,244","228,276","85,488","315,625","225,642","88,803","233,028","229,330",0,"3,698","135,899","133,687",0,"2,212","232,520","73,835",,,,,"683,450","220,738","432,189","19,118","4,558","1,273","5,574","523,546","186,799","315,181","13,412","3,872","1,042","3,240"
Alaska At-Large,AK-AL,Republican,Don,Young,(DAHN YUHNG),/dɑn jʌŋɡ/,1973 Special,1933,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,36.0,50.3,41.0,51.0,30.9,69.1,36.6,51.3,41.2,55.3,38.1,59.7,68.4,3.1,4.7,6.2,13.2,4.5,29.6 ,209 ,36.7 ,174 ,"$76,440",65,,,,8,"318,608","116,454","163,387","297,625","122,640","164,676","324,467","123,594","193,841","308,198","111,019","155,088","42,091","279,725","114,596","142,566","22,563","82,927","185,296",,,,,"708,570","454,831","21,862","39,038","44,357","102,124","46,358","521,588","356,564","16,051","24,290","32,158","69,054","23,471"
