state,class,party,incfirst,inclast,pronounce,pronounceipa,firstelect,birthyr,gender,race,religion,lgbt,pre16inc,demS16,repS16,demlast,replast,clinton16,trump16,obama12,romney12,obama08,mccain08,cens10white,cens10black,cens10latino,cens10aapi,cens10native,cens10other,acs16ba,acs16barank,acs16whiteba,acs16whitebarank,medinc,incrank,popvote16,hrcvote16,djtvote16,popvote12,bhovote12,mrvote12,popvote08,bhovote08,jmvote08,popHvote16,demHvote16,repHvote16,otherHvote16,poplast,popDlast,popRlast,popOlast,pop,popWhite,popBlack,popLatino,popAAPI,popNative,popOther,vap,vapWhite,vapBlack,vapLatino,vapAAPI,vapNative,vapOther
Alabama,2016,Republican,Richard,Shelby,(RICH-erd SHELL-bee),/'Ä_ÄÈ.t_€Ä»Ä_d '_€Ä_l.bi/,1986,1934,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,35.9,64,34.7,65.2,34.4,62.1,38.4,60.5,38.7,60.3,69.4,24.7,3.2,1.1,0.5,1,24.7,44,27.3,44,46257,46,2123372,729547,1318255,2074338,795696,1255925,2099819,813479,1266546,2087444,748709,1335104,3631,1485499,515619,968181,1699,4779736,3204402,1244437,185602,54913,25907,64475,3647277,2530761,902278,118336,41643,19550,34709
Alaska,2016,Republican,Lisa,Murkowski,(LEE-suh mer-COW-skee),/'li.sÄ» mÄ»Ä_.'kÄî.ski/,2002 Appointment,1957,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,11.6,44.4,39.5,35.5,36.6,51.3,40.8,54.8,37.9,59.4,68.4,3.1,4.7,6.2,13.2,4.5,29.6,26,36.7,14,76440,2,318608,116454,163387,300495,122640,164676,326197,123594,193841,311441,36200,138149,137092,255962,60045,90839,101091,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471
Arizona,2016,Republican,John,McCain,(JAHN muh-KAYN),/d_ÍÄïn mÄ».'keÄÈn/,1986,1936,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,40.8,53.7,34.6,58.7,44.6,48.1,44.4,53.5,44.9,53.4,63.4,3.6,25,3,3.7,1.4,28.9,29,35.3,19,53558,31,2604657,1161167,1252401,2306559,1025232,1233654,2303838,1034707,1230111,2529146,1031245,1359267,138634,1713334,592011,1005615,115708,6392017,3695647,239101,1895149,181468,257426,123226,4763003,3017895,172249,1191203,140517,175207,65932
Arkansas,2016,Republican,John,Boozman,(JAHN BOHZ-muhn),/d_ÍÄïn 'bo__z.mÄ»n/,2010,1950,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,36.2,59.8,36.9,57.9,33.7,60.6,36.9,60.6,38.9,58.7,77.5,14.2,5,1.4,0.7,1.2,22.4,48,24,48,44334,48,1130635,380494,684872,1069468,394409,647744,1086617,422310,638017,1107522,400602,661984,44936,779957,288156,451618,40183,2915918,2173469,447102,186050,41156,20183,47958,2204443,1708907,313887,111094,29961,14876,25718
California,2016,Democratic,Kamala,Harris,(KAH-muh-luh HAIR-iss),/'kÄï.mÄ».lÄ» 'hÄ_.Ä_ÄÈs,2016,1964,Woman,Black - Jamaican/Asian - Indian,Christian - Baptist,No,Open - Retired,61.6,0,52.2,42.2,61.5,31.5,60.2,37.1,60.9,36.9,44.4,5.9,33.1,14,0.4,2.2,32.9,14,43.1,6,67739,9,14237884,8753788,4483810,13055815,7854285,4839958,13583083,8274473,5011781,12244170,7542753,0,4701417,9999860,5218137,4217386,564337,37253956,14956253,2163804,14013719,4903647,162250,1054283,27958916,12409858,1640279,9257499,3905481,125020,620779
Colorado,2016,Democratic,Michael,Bennet,(MAHY-kuhl BEN-ett),/'maÄÈ.kÄ»l 'bÄ_.nÄ_t/,2009 Appointment,1964,Man,White - Non-Hispanic,Unknown,No,Re-elected,50,44.3,48.1,46.4,48.2,43.3,51.4,46.1,53.7,44.7,73.9,3.6,17.5,2.8,0.6,1.5,39.9,2,46,1,65685,12,2780247,1338870,1202484,2571846,1323102,1185243,2401462,1288633,1073629,2743023,1370710,1215318,156995,1777668,854685,824789,98194,5029196,3520793,188778,1038687,141225,31244,108469,3803587,2810513,138811,664462,107443,23946,58412
Connecticut,2016,Democratic,Dick,Blumenthal,(DICK BLOO-mun-thawl),/dÄÈk 'blu.mÄ»n.‘ŸÄîl/,2010,1946,Man,White - Non-Hispanic,Jewish,No,Re-elected,63.3,34.5,55.2,43.2,54.6,40.9,58.1,40.7,60.6,38.2,74.2,8.9,11.6,3.7,0.2,1.4,38.6,4,43.3,5,73433,6,1644920,897572,673215,1558993,905109,634899,1646793,997773,629428,1600462,1012900,552621,34941,1153115,636040,498341,18734,3574097,2546262,335119,479087,135049,6885,71695,2757082,2046548,246016,318947,101215,5044,39312
Florida,2016,Republican,Marco,Rubio,(MAR-koh ROO-bee-oh),/'mÄïÄ_.ko__ 'Ä_u.bi.o__/,2010,1971,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,44.3,52,20.2,48.9,47.4,48.6,49.9,49,50.9,48.1,61.2,13.7,21.1,2.4,0.3,1.3,28.6,32,32.2,27,50860,38,9501617,4504975,4617886,8492175,4237756,4163447,8412248,4282367,4046219,9301820,4122088,4835191,344541,5411106,1092936,2645743,1672427,18800445,10884549,2851095,4223134,454937,47264,339466,14798498,9058298,2033898,3118620,356853,37077,193752
Georgia,2016,Republican,Johnny,Isakson,(JAH-nee AHY-zick-suhn),/'d_ÍÄï.ni 'a.sÄÈk.sÄ»n/,2004,1944,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,41,54.8,39,58.3,45.3,50.4,45.4,53.2,46.9,52.1,59,28.8,7.5,3.3,0.2,1.2,30.5,23,33.9,24,53559,30,4141445,1877963,2089104,3908369,1773827,2078688,3932158,1844123,2048759,3897792,1599726,2135806,162260,2555258,996516,1489904,68838,9687653,5413920,2910800,853689,316844,21279,171121,7196101,4242514,2072946,539002,237863,16324,87452
Hawaii,2016,Democratic,Brian,Schatz,"(BRAHY-uhn SHAHTS) [Rhymes with shots, not cats]",/'bÄ_aÄÈ.Ä»n _€Äïts/,2012 Appointment,1972,Man,White - Non-Hispanic,Jewish,No,Re-elected,73.6,22.2,69.8,27.7,62.2,30,70.5,27.8,71.8,26.6,25.5,1.5,7.2,49.7,0.2,15.9,31.9,18,44.8,3,74511,5,428937,266891,128847,434697,306658,121015,453568,325871,120566,416562,306604,92653,17305,353774,246827,98006,8941,1360301,309343,19904,120842,641516,2823,265873,1056483,269530,15662,75574,525267,2323,168127
