chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Senate,Cory Gardner,Gardner,R,CO,94.6,-4.9,44.3,50.3
Senate,Dean Heller,Heller,R,NV,91.1,-2.4,49.1,42
Senate,Marco Rubio,Rubio,R,FL,96.4,1.2,55.9,40.4
Senate,Ron Johnson,Johnson,R,WI,92.9,0.8,55.6,37.3
Senate,Patrick J. Toomey,Toomey,R,PA,90.7,0.7,54.9,35.8
Senate,Richard Burr,Burr,R,NC,96.4,3.7,60.9,35.5
Senate,Thom Tillis,Tillis,R,NC,96.4,3.7,61.5,34.9
Senate,Susan M. Collins,Collins,R,ME,82.1,-3,48,34.1
Senate,Johnny Isakson,Isakson,R,GA,94.9,5.2,63,31.9
Senate,David Perdue,Perdue,R,GA,94.5,5.2,63.9,30.6
Senate,Jeff Flake,Flake,R,AZ,90.6,3.5,60.5,30.1
Senate,John Cornyn,Cornyn,R,TX,96.4,9,71.6,24.9
Senate,Rob Portman,Portman,R,OH,92.9,8.1,70.1,22.8
Senate,John McCain,McCain,R,AZ,82.7,3.5,60.9,21.8
Senate,Ted Cruz,Cruz,R,TX,92.9,9,71.6,21.3
Senate,Chuck Grassley,Grassley,R,IA,92.9,9.4,72.2,20.6
Senate,Joni Ernst,Ernst,R,IA,91.1,9.4,72.2,18.8
Senate,Dan Sullivan,Sullivan,R,AK,96.2,14.7,79.8,16.4
Senate,Tim Scott,Scott,R,SC,94.6,14.3,79.3,15.3
Senate,Thad Cochran,Cochran,R,MS,96.4,17.8,83.4,13
Senate,Roger F. Wicker,Wicker,R,MS,96.4,17.8,83.4,13
Senate,Orrin G. Hatch,Hatch,R,UT,96.4,18.1,83.6,12.8
Senate,Roy Blunt,Blunt,R,MO,96.4,18.6,84.2,12.3
Senate,Bill Cassidy,Cassidy,R,LA,96.4,19.6,85.1,11.3
Senate,Dianne Feinstein,Feinstein,D,CA,30.9,-30.1,20,10.9
Senate,Pat Roberts,Roberts,R,KS,96.4,20.6,85.9,10.5
Senate,Lindsey Graham,Graham,R,SC,89.3,14.3,79.3,9.9
Senate,Jerry Moran,Moran,R,KS,94.5,20.6,85.7,8.9
Senate,Todd Young,Young,R,IN,92.9,19.2,84.7,8.2
Senate,Brian Schatz,Schatz,D,HI,26.8,-32.2,18.8,8
Senate,John Kennedy,Kennedy,R,LA,92.9,19.6,85.1,7.8
Senate,Lisa Murkowski,Murkowski,R,AK,87.3,14.7,79.6,7.6
Senate,Steve Daines,Daines,R,MT,92.9,20.4,85.8,7.1
Senate,John Boozman,Boozman,R,AR,96.4,26.9,89.9,6.5
Senate,Mazie K. Hirono,Hirono,D,HI,25,-32.2,18.8,6.2
Senate,Mitch McConnell,McConnell,R,KY,96.4,29.8,90.9,5.4
Senate,John Thune,Thune,R,SD,96.4,29.8,91.1,5.3
Senate,Lamar Alexander,Alexander,R,TN,94.4,26,89.1,5.3
Senate,Benjamin L. Cardin,Cardin,D,MD,26.8,-26.4,21.5,5.3
Senate,Patrick J. Leahy,Leahy,D,VT,26.8,-26.4,21.5,5.2
Senate,Richard C. Shelby,Shelby,R,AL,94.6,27.7,90.3,4.4
Senate,Jeff Sessions*,Sessions*,R,AL,100,27.7,95.8,4.2
Senate,Deb Fischer,Fischer,R,NE,92.9,25,88.9,3.9
Senate,John Hoeven,Hoeven,R,ND,96.4,35.7,92.5,3.9
Senate,Mike Lee,Lee,R,UT,87.5,18.1,83.6,3.9
Senate,Mike Rounds,Rounds,R,SD,94.6,29.8,91.1,3.6
Senate,Tom Cotton,Cotton,R,AR,92.9,26.9,89.9,2.9
Senate,Luther Strange,Strange,R,AL,90.9,27.7,88.5,2.4
Senate,James M. Inhofe,Inhofe,R,OK,94.6,36.4,92.6,2
